2020-07-31 16:57:27 install tar:armhf <none> 1.30+dfsg-7
2020-07-31 16:57:27 status half-installed tar:armhf 1.30+dfsg-7
2020-07-31 16:57:27 status unpacked tar:armhf 1.30+dfsg-7
2020-07-31 16:57:27 install util-linux:armhf <none> 2.34-0.1ubuntu9
2020-07-31 16:57:27 status half-installed util-linux:armhf 2.34-0.1ubuntu9
2020-07-31 16:57:27 status unpacked util-linux:armhf 2.34-0.1ubuntu9
2020-07-31 16:57:27 install zlib1g:armhf <none> 1:1.2.11.dfsg-2ubuntu1
2020-07-31 16:57:27 status half-installed zlib1g:armhf 1:1.2.11.dfsg-2ubuntu1
2020-07-31 16:57:27 status unpacked zlib1g:armhf 1:1.2.11.dfsg-2ubuntu1
2020-07-31 16:57:27 startup packages configure
2020-07-31 16:57:27 configure lsb-base:all 11.1.0ubuntu2 <none>
2020-07-31 16:57:27 status unpacked lsb-base:all 11.1.0ubuntu2
2020-07-31 16:57:27 status half-configured lsb-base:all 11.1.0ubuntu2
2020-07-31 16:57:27 status installed lsb-base:all 11.1.0ubuntu2
2020-07-31 16:57:27 configure libaudit-common:all 1:2.8.5-2ubuntu6 <none>
2020-07-31 16:57:27 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2020-07-31 16:57:27 status half-configured libaudit-common:all 1:2.8.5-2ubuntu6
2020-07-31 16:57:27 status installed libaudit-common:all 1:2.8.5-2ubuntu6
2020-07-31 16:57:27 configure libsemanage-common:all 3.0-1build2 <none>
2020-07-31 16:57:27 status unpacked libsemanage-common:all 3.0-1build2
2020-07-31 16:57:27 status half-configured libsemanage-common:all 3.0-1build2
2020-07-31 16:57:27 status installed libsemanage-common:all 3.0-1build2
2020-07-31 16:57:27 configure gcc-10-base:armhf 10-20200411-0ubuntu1 <none>
2020-07-31 16:57:27 status unpacked gcc-10-base:armhf 10-20200411-0ubuntu1
2020-07-31 16:57:27 status half-configured gcc-10-base:armhf 10-20200411-0ubuntu1
2020-07-31 16:57:27 status installed gcc-10-base:armhf 10-20200411-0ubuntu1
2020-07-31 16:57:27 configure ncurses-base:all 6.2-0ubuntu2 <none>
2020-07-31 16:57:27 status unpacked ncurses-base:all 6.2-0ubuntu2
